DATE,CSUSHPISA
2002-01-01,117.14299999999999
2002-02-01,117.845
2002-03-01,118.68799999999999
2002-04-01,119.611
2002-05-01,120.72399999999999
2002-06-01,121.81200000000001
2002-07-01,122.887
2002-08-01,123.83
2002-09-01,124.77799999999999
2002-10-01,125.73299999999999
2002-11-01,126.667
2002-12-01,127.62100000000001
2003-01-01,128.46
2003-02-01,129.355
2003-03-01,130.14700000000002
2003-04-01,130.884
2003-05-01,131.734
2003-06-01,132.649
2003-07-01,133.775
2003-08-01,134.967
2003-09-01,136.293
2003-10-01,137.532
2003-11-01,138.79399999999998
2003-12-01,140.18
2004-01-01,141.64700000000002
2004-02-01,143.192
2004-03-01,145.059
2004-04-01,146.592
2004-05-01,148.183
2004-06-01,149.847
2004-07-01,151.335
2004-08-01,152.631
2004-09-01,154.17700000000002
2004-10-01,155.75
2004-11-01,157.528
2004-12-01,159.33
2005-01-01,161.28799999999998
2005-02-01,163.344
2005-03-01,165.812
2005-04-01,167.50099999999998
2005-05-01,169.351
2005-06-01,171.19
2005-07-01,172.859
2005-08-01,174.442
2005-09-01,176.437
2005-10-01,178.028
2005-11-01,179.68099999999998
2005-12-01,180.91
2006-01-01,182.32
2006-02-01,183.28599999999997
2006-03-01,184.363
2006-04-01,184.329
2006-05-01,184.15599999999998
2006-06-01,183.507
2006-07-01,183.06900000000002
2006-08-01,182.59599999999998
2006-09-01,182.801
2006-10-01,183.202
2006-11-01,183.612
2006-12-01,184.141
2007-01-01,184.519
2007-02-01,184.59900000000002
2007-03-01,184.15
2007-04-01,183.00900000000001
2007-05-01,181.601
2007-06-01,180.25599999999997
2007-07-01,179.114
2007-08-01,178.12099999999998
2007-09-01,177.562
2007-10-01,176.627
2007-11-01,175.148
2007-12-01,174.342
2008-01-01,173.13299999999998
2008-02-01,171.542
2008-03-01,170.053
2008-04-01,168.33900000000003
2008-05-01,166.66
2008-06-01,165.02
2008-07-01,163.571
2008-08-01,161.993
2008-09-01,160.311
2008-10-01,158.327
2008-11-01,156.14
2008-12-01,153.616
2009-01-01,151.504
2009-02-01,150.012
2009-03-01,148.659
2009-04-01,147.94899999999998
2009-05-01,147.695
2009-06-01,148.088
2009-07-01,148.407
2009-08-01,148.273
2009-09-01,148.02
2009-10-01,147.847
2009-11-01,148.134
2009-12-01,147.93
2010-01-01,147.394
2010-02-01,145.632
2010-03-01,145.858
2010-04-01,146.4
2010-05-01,146.39
2010-06-01,145.717
2010-07-01,144.986
2010-08-01,143.908
2010-09-01,143.012
2010-10-01,142.524
2010-11-01,142.17
2010-12-01,142.061
2011-01-01,141.52700000000002
2011-02-01,140.357
2011-03-01,139.985
2011-04-01,140.00799999999998
2011-05-01,139.9
2011-06-01,139.858
2011-07-01,139.727
2011-08-01,139.306
2011-09-01,138.666
2011-10-01,137.951
2011-11-01,137.15200000000002
2011-12-01,136.674
2012-01-01,136.607
2012-02-01,136.533
2012-03-01,137.905
2012-04-01,139.155
2012-05-01,140.155
2012-06-01,141.029
2012-07-01,141.668
2012-08-01,142.27700000000002
2012-09-01,142.908
2012-10-01,143.602
2012-11-01,144.58700000000002
2012-12-01,145.506
2013-01-01,146.841
2013-02-01,147.78
2013-03-01,149.96200000000002
2013-04-01,151.524
2013-05-01,152.86
2013-06-01,154.203
2013-07-01,155.61
2013-08-01,156.976
2013-09-01,158.233
2013-10-01,159.245
2013-11-01,160.07399999999998
2013-12-01,160.999
2014-01-01,161.964
2014-02-01,162.533
2014-03-01,163.102
2014-04-01,163.415
2014-05-01,163.681
2014-06-01,164.062
2014-07-01,164.57299999999998
2014-08-01,165.21599999999998
2014-09-01,165.91
2014-10-01,166.648
2014-11-01,167.342
2014-12-01,168.07299999999998
2015-01-01,168.706
2015-02-01,169.16299999999998
2015-03-01,169.842
2015-04-01,170.338
2015-05-01,170.908
2015-06-01,171.46
2015-07-01,172.11700000000002
2015-08-01,172.93200000000002
2015-09-01,173.838
2015-10-01,174.81099999999998
2015-11-01,175.764
2015-12-01,176.581
2016-01-01,177.351
2016-02-01,177.69099999999997
2016-03-01,178.231
2016-04-01,178.838
2016-05-01,179.481
2016-06-01,180.092
2016-07-01,180.832
2016-08-01,181.852
2016-09-01,182.843
2016-10-01,183.782
2016-11-01,184.782
2016-12-01,185.74099999999999
2017-01-01,186.87599999999998
2017-02-01,187.37900000000002
2017-03-01,188.123
2017-04-01,188.894
2017-05-01,189.74900000000002
2017-06-01,190.555
2017-07-01,191.454
2017-08-01,192.683
2017-09-01,193.78099999999998
2017-10-01,194.815
2017-11-01,195.919
2017-12-01,197.122
2018-01-01,198.304
2018-02-01,199.25799999999998
2018-03-01,200.175
2018-04-01,200.997
2018-05-01,201.71599999999998
2018-06-01,202.387
2018-07-01,202.94099999999997
2018-08-01,203.72
2018-09-01,204.357
2018-10-01,205.071
2018-11-01,205.548
2018-12-01,205.99200000000002
2019-01-01,206.418
2019-02-01,206.834
2019-03-01,207.424
2019-04-01,208.122
2019-05-01,208.68599999999998
2019-06-01,209.014
2019-07-01,209.425
2019-08-01,210.18
2019-09-01,210.91
2019-10-01,211.65
2019-11-01,212.521
2019-12-01,213.555
2020-01-01,214.567
2020-02-01,215.581
2020-03-01,216.774
2020-04-01,217.648
2020-05-01,217.77700000000002
2020-06-01,218.175
2020-07-01,219.562
2020-08-01,222.429
2020-09-01,225.65599999999998
2020-10-01,229.41400000000002
2020-11-01,232.653
